City,State short,State full,County,City alias
Thorp,WA,Washington,KITTITAS,Thorp
Tieton,WA,Washington,YAKIMA,Tieton
Toppenish,WA,Washington,YAKIMA,Toppenish
Vantage,WA,Washington,KITTITAS,Doris
Vantage,WA,Washington,KITTITAS,Vantage
Vantage,WA,Washington,KITTITAS,Ellensburg
Wapato,WA,Washington,YAKIMA,Wapato
Wapato,WA,Washington,YAKIMA,Donald
Wapato,WA,Washington,YAKIMA,Sawyer
White Swan,WA,Washington,YAKIMA,White Swan
Zillah,WA,Washington,YAKIMA,Zillah
Airway Heights,WA,Washington,SPOKANE,Airway Heights
Airway Heights,WA,Washington,SPOKANE,Airway Hgts
Chattaroy,WA,Washington,SPOKANE,Chattaroy
Chattaroy,WA,Washington,SPOKANE,Milan
Cheney,WA,Washington,SPOKANE,Cheney
Cheney,WA,Washington,SPOKANE,Tyler
Cheney,WA,Washington,SPOKANE,Amber
Colbert,WA,Washington,SPOKANE,Colbert
Deer Park,WA,Washington,SPOKANE,Deer Park
Edwall,WA,Washington,LINCOLN,Edwall
Elk,WA,Washington,SPOKANE,Elk
Fairchild Air Force Base,WA,Washington,SPOKANE,Fairchild AFB
Fairchild Air Force Base,WA,Washington,SPOKANE,Fairchild Air Force Base
Fairfield,WA,Washington,SPOKANE,Fairfield
Ford,WA,Washington,STEVENS,Ford
Four Lakes,WA,Washington,SPOKANE,Four Lakes
Greenacres,WA,Washington,SPOKANE,Spo Valley
Greenacres,WA,Washington,SPOKANE,Spokane Valley
Greenacres,WA,Washington,SPOKANE,Spokane Vly
Greenacres,WA,Washington,SPOKANE,Greenacres
Greenacres,WA,Washington,SPOKANE,Liberty Lake
Lamont,WA,Washington,WHITMAN,Sprague
Lamont,WA,Washington,WHITMAN,Lamont
Latah,WA,Washington,SPOKANE,Latah
Liberty Lake,WA,Washington,SPOKANE,Liberty Lake
Marshall,WA,Washington,SPOKANE,Marshall
Mead,WA,Washington,SPOKANE,Mead
Mead,WA,Washington,SPOKANE,Green Bluff
Medical Lake,WA,Washington,SPOKANE,Espanola
Medical Lake,WA,Washington,SPOKANE,Medical Lake
Mica,WA,Washington,SPOKANE,Mica
Mica,WA,Washington,SPOKANE,Valleyford
Newman Lake,WA,Washington,SPOKANE,East Farms
Newman Lake,WA,Washington,SPOKANE,Newman Lake
Nine Mile Falls,WA,Washington,SPOKANE,Nine Mile Fls
Nine Mile Falls,WA,Washington,SPOKANE,Nine Mile Falls
Otis Orchards,WA,Washington,SPOKANE,City Of Spokane Valley
Otis Orchards,WA,Washington,SPOKANE,Otis Orchards
Otis Orchards,WA,Washington,SPOKANE,Spokane Valley
Otis Orchards,WA,Washington,SPOKANE,Spokane Vly
Reardan,WA,Washington,LINCOLN,Reardan
Rockford,WA,Washington,SPOKANE,Rockford
Spangle,WA,Washington,SPOKANE,Spangle
Sprague,WA,Washington,LINCOLN,Sprague
Tekoa,WA,Washington,WHITMAN,Tekoa
Tumtum,WA,Washington,STEVENS,Tumtum
Tumtum,WA,Washington,STEVENS,Tum Tum
Valleyford,WA,Washington,SPOKANE,Valleyford
Veradale,WA,Washington,SPOKANE,City Of Spokane Valley
Veradale,WA,Washington,SPOKANE,Spokane Valley
Veradale,WA,Washington,SPOKANE,Spokane Vly
Veradale,WA,Washington,SPOKANE,Veradale
Waverly,WA,Washington,SPOKANE,Waverly
Wellpinit,WA,Washington,STEVENS,Wellpinit
Addy,WA,Washington,STEVENS,Addy
Albion,WA,Washington,WHITMAN,Albion
Almira,WA,Washington,LINCOLN,Almira
Belmont,WA,Washington,WHITMAN,Farmington
Belmont,WA,Washington,WHITMAN,Belmont
Benge,WA,Washington,ADAMS,Benge
Boyds,WA,Washington,FERRY,Kettle Falls
Boyds,WA,Washington,FERRY,Boyds
Chewelah,WA,Washington,STEVENS,Chewelah
Clayton,WA,Washington,STEVENS,Clayton
Colfax,WA,Washington,WHITMAN,Colfax
Colfax,WA,Washington,WHITMAN,Diamond
Colton,WA,Washington,WHITMAN,Colton
Colville,WA,Washington,STEVENS,Colville
Coulee City,WA,Washington,GRANT,Coulee City
Coulee Dam,WA,Washington,OKANOGAN,Mason City
Coulee Dam,WA,Washington,OKANOGAN,Coulee Dam
Creston,WA,Washington,LINCOLN,Creston
Curlew,WA,Washington,FERRY,Curlew
Cusick,WA,Washington,PEND OREILLE,Cusick
Danville,WA,Washington,FERRY,Danville
Davenport,WA,Washington,LINCOLN,Seven Bays
Davenport,WA,Washington,LINCOLN,Deer Meadows
Davenport,WA,Washington,LINCOLN,Davenport
Electric City,WA,Washington,GRANT,Electric City
Elmer City,WA,Washington,OKANOGAN,Elmer City
Endicott,WA,Washington,WHITMAN,Endicott
Evans,WA,Washington,STEVENS,Evans
Evans,WA,Washington,STEVENS,Kettle Falls
Farmington,WA,Washington,WHITMAN,Farmington
Fruitland,WA,Washington,STEVENS,Hunters
Fruitland,WA,Washington,STEVENS,Fruitland
Garfield,WA,Washington,WHITMAN,Garfield
Gifford,WA,Washington,STEVENS,Gifford
Grand Coulee,WA,Washington,GRANT,Grand Coulee
Harrington,WA,Washington,LINCOLN,Harrington
Hartline,WA,Washington,GRANT,Hartline
Hay,WA,Washington,WHITMAN,Hay
Hunters,WA,Washington,STEVENS,Cedonia
Hunters,WA,Washington,STEVENS,Hunters
Inchelium,WA,Washington,FERRY,Kewa
Inchelium,WA,Washington,FERRY,Inchelium
Ione,WA,Washington,PEND OREILLE,Ione
Keller,WA,Washington,FERRY,Keller
Kettle Falls,WA,Washington,STEVENS,Kettle Falls
Lacrosse,WA,Washington,WHITMAN,Lacrosse
Lacrosse,WA,Washington,WHITMAN,La Crosse
Lamona,WA,Washington,LINCOLN,Lamona
Lamona,WA,Washington,LINCOLN,Odessa
Laurier,WA,Washington,FERRY,Laurier
Lincoln,WA,Washington,LINCOLN,Creston
Lincoln,WA,Washington,LINCOLN,Lincoln
Loon Lake,WA,Washington,STEVENS,Deer Lake
Loon Lake,WA,Washington,STEVENS,Loon Lake
Malden,WA,Washington,WHITMAN,Malden
Malo,WA,Washington,FERRY,Malo
Marcus,WA,Washington,STEVENS,Marcus
Metaline,WA,Washington,PEND OREILLE,Metaline
Metaline Falls,WA,Washington,PEND OREILLE,Metaline Falls
Metaline Falls,WA,Washington,PEND OREILLE,Metaline Fls
Mohler,WA,Washington,LINCOLN,Mohler
Mohler,WA,Washington,LINCOLN,Harrington
Nespelem,WA,Washington,OKANOGAN,Nespelem
Newport,WA,Washington,PEND OREILLE,Newport
Northport,WA,Washington,STEVENS,Northport
Oakesdale,WA,Washington,WHITMAN,Oakesdale
Odessa,WA,Washington,LINCOLN,Odessa
Orient,WA,Washington,FERRY,Orient
Orient,WA,Washington,FERRY,Kettle Falls
Palouse,WA,Washington,WHITMAN,Palouse
Pullman,WA,Washington,WHITMAN,Pullman
Pullman,WA,Washington,WHITMAN,Washington State University
Republic,WA,Washington,FERRY,Republic
Rice,WA,Washington,STEVENS,Rice
Ritzville,WA,Washington,ADAMS,Ritzville
Rosalia,WA,Washington,WHITMAN,Rosalia
Rosalia,WA,Washington,WHITMAN,Plaza
Saint John,WA,Washington,WHITMAN,Saint John
Springdale,WA,Washington,STEVENS,Springdale
Steptoe,WA,Washington,WHITMAN,Steptoe
Thornton,WA,Washington,WHITMAN,Thornton
Uniontown,WA,Washington,WHITMAN,Uniontown
Usk,WA,Washington,PEND OREILLE,Usk
Valley,WA,Washington,STEVENS,Valley
Wilbur,WA,Washington,LINCOLN,Wilbur
Spokane,WA,Washington,SPOKANE,Spokane
Spokane,WA,Washington,SPOKANE,Liberty Park
Spokane,WA,Washington,SPOKANE,Manito
Spokane,WA,Washington,SPOKANE,Shadle Garland
Spokane,WA,Washington,SPOKANE,City Of Spokane Valley
Spokane,WA,Washington,SPOKANE,Spokane Valley
Spokane,WA,Washington,SPOKANE,Spokane Vly
Spokane,WA,Washington,SPOKANE,Cty Spok Val
Spokane,WA,Washington,SPOKANE,Millwood
Spokane,WA,Washington,SPOKANE,Sunset Hill
Spokane,WA,Washington,SPOKANE,Whitworth University
Spokane,WA,Washington,SPOKANE,Avista Corp
Spokane,WA,Washington,SPOKANE,Spokane City Trea
Spokane,WA,Washington,SPOKANE,Gonzaga Univ
Spokane,WA,Washington,SPOKANE,Public Safety Bldg
Spokane,WA,Washington,SPOKANE,Spokane Closed District
Pasco,WA,Washington,FRANKLIN,Pasco
Pasco,WA,Washington,FRANKLIN,Tri Cities
Benton City,WA,Washington,BENTON,Benton City
Benton City,WA,Washington,BENTON,Kiona
Beverly,WA,Washington,GRANT,Schawana
Beverly,WA,Washington,GRANT,Beverly
Bickleton,WA,Washington,KLICKITAT,Bickleton
Burbank,WA,Washington,WALLA WALLA,Burbank
College Place,WA,Washington,WALLA WALLA,College Place
Connell,WA,Washington,FRANKLIN,Connell
Dayton,WA,Washington,COLUMBIA,Dayton
Dixie,WA,Washington,WALLA WALLA,Dixie
Eltopia,WA,Washington,FRANKLIN,Eltopia
Hooper,WA,Washington,WHITMAN,Hooper
Kahlotus,WA,Washington,FRANKLIN,Kahlotus
Kennewick,WA,Washington,BENTON,Kenn
Kennewick,WA,Washington,BENTON,Finley
Kennewick,WA,Washington,BENTON,Kennewick
Lind,WA,Washington,ADAMS,Lind
Mesa,WA,Washington,FRANKLIN,Basin City
Mesa,WA,Washington,FRANKLIN,Mesa
Othello,WA,Washington,ADAMS,Hatton
Othello,WA,Washington,ADAMS,Royal Slope
Othello,WA,Washington,ADAMS,Othello
Paterson,WA,Washington,BENTON,Paterson
Plymouth,WA,Washington,BENTON,Plymouth
Pomeroy,WA,Washington,GARFIELD,Pomeroy
Prescott,WA,Washington,WALLA WALLA,Prescott
Mattawa,WA,Washington,GRANT,Desert Aire
Mattawa,WA,Washington,GRANT,Mattawa
Prosser,WA,Washington,BENTON,Prosser
Prosser,WA,Washington,BENTON,North Prosser
Richland,WA,Washington,BENTON,Hanford Works
Richland,WA,Washington,BENTON,West Richland
Richland,WA,Washington,BENTON,Richland
West Richland,WA,Washington,BENTON,Richland
West Richland,WA,Washington,BENTON,West Richland
Roosevelt,WA,Washington,KLICKITAT,Roosevelt
Royal City,WA,Washington,GRANT,Royal City
Starbuck,WA,Washington,COLUMBIA,Starbuck
Touchet,WA,Washington,WALLA WALLA,Touchet
Touchet,WA,Washington,WALLA WALLA,Lowden
Waitsburg,WA,Washington,WALLA WALLA,Waitsburg
Walla Walla,WA,Washington,WALLA WALLA,Walla Walla
Wallula,WA,Washington,WALLA WALLA,Wallula
Washtucna,WA,Washington,ADAMS,Washtucna
Anatone,WA,Washington,ASOTIN,Anatone
Asotin,WA,Washington,ASOTIN,Asotin
Clarkston,WA,Washington,ASOTIN,Clarkston
